All - 07-04-2025 00:00 - 07-04-2025 23:59
Location,Ticket#,License Plate No.,Amount,Tax,Fee,Per Day Fee,Duration(hh:mm),Entry Time,Exit Time,Transaction Time,Ticket Status,Transaction Mode,Ticket Type,Transaction Description,Payment Status,Extended By,Reason
1501 Main Parking,TF74945,9UAV091,20.00,0.00,1.00,0.00,1:00,07/04/2025 09:15 PM,,07/04/2025 09:15 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TE35410,U731F0,30.00,0.00,3.00,0.00,2:00,07/04/2025 09:14 PM,,07/04/2025 09:14 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TE35410-EXT,U731F0,10.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 09:14 PM,,07/04/2025 10:36 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
2913 Washington Parking (Scopa 1),TV53401,7GIR054,15.00,0.00,1.00,0.00,2:00,07/04/2025 09:12 PM,,07/04/2025 09:12 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TP95205,RGP6308,20.00,0.00,2.00,0.00,1:00,07/04/2025 09:11 PM,,07/04/2025 09:11 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TP95205-EEX,RGP6308,20.00,0.00,2.00,0.00,Until 03:00 AM,07/04/2025 09:11 PM,,07/04/2025 10:16 PM,Open,Card,Regular,,SUCCEEDED,Rodrigo  z,
121 Windward Parking,TS38737,HMC292,10.00,0.00,1.00,0.00,0:30,07/04/2025 09:11 PM,,07/04/2025 09:11 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TX97110,9SPW899,10.00,0.00,1.00,0.00,0:30,07/04/2025 09:10 PM,,07/04/2025 09:10 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TU85561,9PCD974,30.00,0.00,3.00,0.00,2:00,07/04/2025 09:09 PM,,07/04/2025 09:09 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TE62102,9TSA588,50.00,0.00,1.00,0.00,Until 10:00 AM,07/04/2025 09:09 PM,,07/04/2025 09:09 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TA91594,9GRR818,25.00,0.00,1.00,0.00,1:00,07/04/2025 09:08 PM,,07/04/2025 09:08 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TA91594-EXT,9GRR818,5.00,0.00,1.00,0.00,1:00,07/04/2025 09:08 PM,,07/04/2025 10:13 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TS32242,9GLR427,30.00,0.00,3.00,0.00,2:00,07/04/2025 09:07 PM,,07/04/2025 09:07 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TS32242-EXT,9GLR427,10.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 09:07 PM,,07/04/2025 10:17 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
18th Avenue Parking,TV49098,9RTX719,15.00,0.00,1.00,0.00,2:00,07/04/2025 09:04 PM,,07/04/2025 09:04 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
801 Ocean Front Walk,TX31266,9MZG849,35.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 09:04 PM,,07/04/2025 09:04 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TY97485,MCOYFAM,20.00,0.00,2.00,0.00,1:00,07/04/2025 09:02 PM,,07/04/2025 09:02 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TZ61698,9LCA696,30.00,0.00,3.00,0.00,2:00,07/04/2025 09:02 PM,,07/04/2025 09:02 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TL04823,9PTZ692,20.00,0.00,2.00,0.00,1:00,07/04/2025 09:02 PM,,07/04/2025 09:02 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TJ96571,8ZVJ791,30.00,0.00,3.00,0.00,2:00,07/04/2025 09:01 PM,,07/04/2025 09:01 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TT71064,7ZQL168,20.00,0.00,1.00,0.00,1:00,07/04/2025 08:58 PM,,07/04/2025 08:58 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TJ21788,7MTV701,20.00,0.00,2.00,0.00,1:00,07/04/2025 08:56 PM,,07/04/2025 08:56 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TT27265,9TSV190,30.00,0.00,3.00,0.00,2:00,07/04/2025 08:56 PM,,07/04/2025 08:56 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TX96934,9BFL074,20.00,0.00,2.00,0.00,1:00,07/04/2025 08:55 PM,,07/04/2025 08:55 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TV76741,9FYJ675,25.00,0.00,1.00,0.00,2:00,07/04/2025 08:54 PM,,07/04/2025 08:54 PM,Open,Card,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TM88578,8RUB921,30.00,0.00,1.00,0.00,2:00,07/04/2025 08:53 PM,,07/04/2025 08:53 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TQ45971,9MEP975,20.00,0.00,2.00,0.00,1:00,07/04/2025 08:53 PM,,07/04/2025 08:53 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TF98878,CWC2300,20.00,0.00,1.00,0.00,1:00,07/04/2025 08:52 PM,,07/04/2025 08:52 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TK79780,7HPP260,20.00,0.00,2.00,0.00,1:00,07/04/2025 08:52 PM,,07/04/2025 08:52 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TE45609,9HXB036,15.00,0.00,1.00,0.00,1:00,07/04/2025 08:49 PM,,07/04/2025 08:49 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
407 Colorado Parking,TA95454,9NYR083,25.00,0.00,1.00,0.00,2:00,07/04/2025 08:48 PM,,07/04/2025 08:48 PM,Open,Card,Regular,,SUCCEEDED,,
1501 Main Parking,TH74017,9KJR385,10.00,0.00,1.00,0.00,0:30,07/04/2025 08:47 PM,,07/04/2025 08:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TH74017-EEX,9KJR385,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 08:47 PM,,07/04/2025 09:23 PM,Open,Apple Pay,Regular,,SUCCEEDED,Rodrigo  z,
601 Ocean Front Walk,TC06166,9MNP670,15.00,0.00,1.00,0.00,1:00,07/04/2025 08:47 PM,,07/04/2025 08:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TU23428,9DMX849,30.00,0.00,1.00,0.00,2:00,07/04/2025 08:46 PM,,07/04/2025 08:46 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
18th Avenue Parking,TD12890,9MWN052,15.00,0.00,1.00,0.00,2:00,07/04/2025 08:42 PM,,07/04/2025 08:42 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
18th Avenue Parking,TD12890-EXT,9MWN052,10.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 08:42 PM,,07/04/2025 10:08 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
2913 Washington Parking (Scopa 1),TR49441,CWF7695,25.00,0.00,1.00,0.00,Until 05:00 PM,07/04/2025 08:41 PM,,07/04/2025 08:41 PM,Open,Card,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TX75691,194YFY,15.00,0.00,1.00,0.00,1:00,07/04/2025 08:40 PM,,07/04/2025 08:40 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TV13406,KJF5868,15.00,0.00,1.00,0.00,1:00,07/04/2025 08:38 PM,,07/04/2025 08:38 PM,Open,Card,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TT60066,9AMS935,15.00,0.00,1.00,0.00,1:00,07/04/2025 08:37 PM,,07/04/2025 08:37 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TE75032,1321B7,30.00,0.00,1.00,0.00,2:00,07/04/2025 08:34 PM,,07/04/2025 08:34 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TC54505,18930F3,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 08:34 PM,,07/04/2025 08:34 PM,Open,Card,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TM60812,9TMG484,25.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 08:32 PM,,07/04/2025 08:32 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TD54223,7CLY798,30.00,0.00,1.00,0.00,2:00,07/04/2025 08:31 PM,,07/04/2025 08:31 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
407 Colorado Parking,TS75404,8UAL752,25.00,0.00,1.00,0.00,2:00,07/04/2025 08:31 PM,,07/04/2025 08:31 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TX99990,9STN845,20.00,0.00,1.00,0.00,2:00,07/04/2025 08:29 PM,,07/04/2025 08:29 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TA91132,9PLY830,20.00,0.00,2.00,0.00,1:00,07/04/2025 08:26 PM,,07/04/2025 08:26 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TF37193,EE21N53,30.00,0.00,3.00,0.00,2:00,07/04/2025 08:20 PM,,07/04/2025 08:20 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TW85232,7BXA174,30.00,0.00,3.00,0.00,2:00,07/04/2025 08:18 PM,,07/04/2025 08:18 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TN00745,JF2152,50.00,0.00,5.00,0.00,Until 10:00 AM,07/04/2025 08:14 PM,,07/04/2025 08:14 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TN00745-EXT,JF2152,30.00,0.00,3.00,0.00,2:00,07/04/2025 08:14 PM,,07/05/2025 09:18 AM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TG49462,8RNA744,20.00,0.00,2.00,0.00,1:00,07/04/2025 08:13 PM,,07/04/2025 08:13 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TG49462-EXT,8RNA744,10.00,0.00,1.00,0.00,1:00,07/04/2025 08:13 PM,,07/04/2025 08:46 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TF98019,9KVH449,20.00,0.00,2.00,0.00,1:00,07/04/2025 08:13 PM,,07/04/2025 08:13 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
407 Colorado Parking,TM48382,8RRD826,15.00,0.00,1.00,0.00,1:00,07/04/2025 08:11 PM,,07/04/2025 08:11 PM,Open,Card,Regular,,SUCCEEDED,,
407 Colorado Parking,TM48382-EXT,8RRD826,15.00,0.00,1.00,0.00,1:00,07/04/2025 08:11 PM,,07/04/2025 09:18 PM,Open,Card,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TE67967,5WBW958,10.00,0.00,1.00,0.00,0:30,07/04/2025 08:10 PM,,07/04/2025 08:10 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TE67967-EXT,5WBW958,10.00,0.00,1.00,0.00,0:30,07/04/2025 08:10 PM,,07/04/2025 08:41 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1715 Pacific Parking,TJ40908,RBB9319,20.00,0.00,1.00,0.00,1:00,07/04/2025 08:07 PM,,07/04/2025 08:07 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TJ40908-EXT,RBB9319,10.00,0.00,1.00,0.00,1:00,07/04/2025 08:07 PM,,07/04/2025 08:48 PM,Open,Card,Regular,,SUCCEEDED,Parker,
1715 Pacific Parking,TA03370,7PBS698,20.00,0.00,1.00,0.00,1:00,07/04/2025 08:07 PM,,07/04/2025 08:07 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TQ03930,5TYP722,20.00,0.00,1.00,0.00,1:00,07/04/2025 08:06 PM,,07/04/2025 08:06 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TT89518,9RIT857,30.00,0.00,1.00,0.00,2:00,07/04/2025 08:04 PM,,07/04/2025 08:04 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TG41885,9TYM031,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 08:01 PM,,07/04/2025 08:01 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TJ38749,9NKAP678,10.00,0.00,1.00,0.00,0:30,07/04/2025 07:59 PM,,07/04/2025 07:59 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TJ38749-EXT,9NKAP678,10.00,0.00,1.00,0.00,0:30,07/04/2025 07:59 PM,,07/04/2025 08:43 PM,Open,Card,Regular,,SUCCEEDED,Parker,
407 Colorado Parking,TX20054,7UAG059,25.00,0.00,1.00,0.00,2:00,07/04/2025 07:57 PM,,07/04/2025 07:57 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
407 Colorado Parking,TD36696,9PHY896,25.00,0.00,1.00,0.00,2:00,07/04/2025 07:56 PM,,07/04/2025 07:56 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TM05504,9TGM218,20.00,0.00,2.00,0.00,1:00,07/04/2025 07:55 PM,,07/04/2025 07:55 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TM05504-EXT,9TGM218,10.00,0.00,1.00,0.00,1:00,07/04/2025 07:55 PM,,07/04/2025 08:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
2913 Washington Parking (Scopa 1),TP55408,9SVJ321,30.00,0.00,1.00,0.00,Until 11:00 AM,07/04/2025 07:55 PM,,07/04/2025 07:55 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TZ09369,8GHW355,20.00,0.00,1.00,0.00,2:00,07/04/2025 07:53 PM,,07/04/2025 07:53 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TT21356,4Y8XL,10.00,0.00,1.00,0.00,0:30,07/04/2025 07:51 PM,,07/04/2025 07:51 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1218 1/2 Lincoln Blvd Parking,TE12358,6ZGZ368,25.00,2.50,1.00,0.00,Until 09:00 AM,07/04/2025 07:44 PM,,07/04/2025 07:44 PM,Open,Card,Regular,,SUCCEEDED,,
1218 1/2 Lincoln Blvd Parking,TE12358-EXT,6ZGZ368,35.00,3.50,1.00,0.00,6:00,07/04/2025 07:44 PM,,07/05/2025 01:57 PM,Open,Card,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TU53887,7BON912,30.00,0.00,3.00,0.00,2:00,07/04/2025 07:40 PM,,07/04/2025 07:40 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TU53887-EXT,7BON912,10.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 07:40 PM,,07/04/2025 09:20 PM,Open,Card,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TS44704,7H4U,20.00,0.00,2.00,0.00,1:00,07/04/2025 07:38 PM,,07/04/2025 07:38 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TS44704-EXT,7H4U,20.00,0.00,2.00,0.00,Until 03:00 AM,07/04/2025 07:38 PM,,07/04/2025 08:12 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TL37981,22287E4,20.00,0.00,2.00,0.00,1:00,07/04/2025 07:36 PM,,07/04/2025 07:36 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TK75336,8YLF178,30.00,0.00,3.00,0.00,2:00,07/04/2025 07:32 PM,,07/04/2025 07:32 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TT57256,565DMB,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 07:28 PM,,07/04/2025 07:28 PM,Open,Card,Regular,,SUCCEEDED,,
18th Avenue Parking,TD01483,65239V3,10.00,0.00,1.00,0.00,1:00,07/04/2025 07:28 PM,,07/04/2025 07:28 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TE81737,9SCX021,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 07:27 PM,,07/04/2025 07:27 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TZ46229,NTX3967,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 07:24 PM,,07/04/2025 07:24 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TW77999,WDF5481,20.00,0.00,1.00,0.00,1:00,07/04/2025 07:24 PM,,07/04/2025 07:24 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TM16054,WBF9774,5.00,0.00,1.00,0.00,0:30,07/04/2025 07:22 PM,,07/04/2025 07:22 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TM16054-EXT,WBF9774,5.00,0.00,1.00,0.00,0:30,07/04/2025 07:22 PM,,07/04/2025 08:10 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
3016 Main Parking,TM16054-EEX,WBF9774,15.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 07:22 PM,,07/04/2025 09:36 PM,Open,Apple Pay,Regular,,SUCCEEDED,Rodrigo  z,
100 Venice Way Parking,TQ84579,DXDX26,20.00,0.00,2.00,0.00,1:00,07/04/2025 07:19 PM,,07/04/2025 07:19 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TQ84579-EXT,DXDX26,10.00,0.00,1.00,0.00,1:00,07/04/2025 07:19 PM,,07/04/2025 08:11 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TW93292,9TSB121,30.00,0.00,3.00,0.00,2:00,07/04/2025 07:19 PM,,07/04/2025 07:19 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TM75037,8JUM863,20.00,0.00,2.00,0.00,1:00,07/04/2025 07:19 PM,,07/04/2025 07:19 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TH79827,362LDJ,20.00,0.00,1.00,0.00,2:00,07/04/2025 07:15 PM,,07/04/2025 07:15 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TC36261,8AHD696,20.00,0.00,2.00,0.00,1:00,07/04/2025 07:09 PM,,07/04/2025 07:09 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TH61963,9TAV158,10.00,0.00,1.00,0.00,0:30,07/04/2025 07:04 PM,,07/04/2025 07:04 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TL34209,EE66N76,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 07:04 PM,,07/04/2025 07:04 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TR37321,9SCW568,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 06:59 PM,,07/04/2025 06:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TL66322,9BJF234,45.00,0.00,1.00,0.00,Until 10:00 AM,07/04/2025 06:58 PM,,07/04/2025 06:58 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TF89445,9MMC908,40.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 06:52 PM,,07/04/2025 06:52 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TF65936,9CJD290,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 06:51 PM,,07/04/2025 06:51 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TG43828,15209,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 06:51 PM,,07/04/2025 06:51 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TE36325,EECN56,10.00,0.00,1.00,0.00,0:30,07/04/2025 06:51 PM,,07/04/2025 06:51 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
407 Colorado Parking,TS20807,9RAP257,25.00,0.00,1.00,0.00,2:00,07/04/2025 06:49 PM,,07/04/2025 06:49 PM,Open,Card,Regular,,SUCCEEDED,,
3016 Main Parking,TH33038,9NBZ151,25.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 06:49 PM,,07/04/2025 06:49 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TA87934,BQP6627,50.00,0.00,5.00,0.00,Until 02:00 AM,07/04/2025 06:46 PM,,07/04/2025 06:46 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TX34876,BOBABY,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 06:43 PM,,07/04/2025 06:43 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TC43069,FP274565,10.00,0.00,1.00,0.00,0:30,07/04/2025 06:42 PM,,07/04/2025 06:42 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TC43069-EXT,FP274565,10.00,0.00,1.00,0.00,0:30,07/04/2025 06:42 PM,,07/04/2025 06:51 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1715 Pacific Parking,TR94588,EESA17,20.00,0.00,1.00,0.00,1:00,07/04/2025 06:41 PM,,07/04/2025 06:41 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TD34511,9PGP740,50.00,0.00,5.00,0.00,Until 10:00 AM,07/04/2025 06:40 PM,,07/04/2025 06:40 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TF42215,2553DQ,10.00,0.00,1.00,0.00,0:30,07/04/2025 06:38 PM,,07/04/2025 06:38 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TF42215-EXT,2553DQ,10.00,0.00,1.00,0.00,0:30,07/04/2025 06:38 PM,,07/04/2025 07:00 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1715 Pacific Parking,TF42215-EXT,2553DQ,10.00,0.00,1.00,0.00,1:30,07/04/2025 06:38 PM,,07/04/2025 07:23 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TR28627,9PTG458,20.00,0.00,2.00,0.00,1:00,07/04/2025 06:38 PM,,07/04/2025 06:38 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TH96619,9TTH457,20.00,0.00,1.00,0.00,1:00,07/04/2025 06:34 PM,,07/04/2025 06:34 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TX74207,6MJG424,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 06:33 PM,,07/04/2025 06:33 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TT91285,CAXY99,30.00,0.00,3.00,0.00,2:00,07/04/2025 06:31 PM,,07/04/2025 06:31 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TV32945,7REG719,20.00,0.00,2.00,0.00,1:00,07/04/2025 06:30 PM,,07/04/2025 06:30 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TT50603,72839V3,45.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 06:27 PM,,07/04/2025 06:27 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TW60561,9RNL174,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 06:26 PM,,07/04/2025 06:26 PM,Open,Card,Regular,,SUCCEEDED,,
155 Washington Parking,TG24748,DM47C48,80.00,0.00,1.00,0.00,Until 01:00 AM,07/04/2025 06:24 PM,,07/04/2025 06:24 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TN66793,9MPY787,30.00,0.00,1.00,0.00,2:00,07/04/2025 06:22 PM,,07/04/2025 06:22 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TJ65610,9HZM463,10.00,0.00,1.00,0.00,0:30,07/04/2025 06:22 PM,,07/04/2025 06:22 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TJ65610-EEX,9HZM463,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 06:22 PM,,07/04/2025 06:58 PM,Open,Apple Pay,Regular,,SUCCEEDED,Rodrigo  z,
1715 Pacific Parking,TS88609,9STC384,20.00,0.00,1.00,0.00,1:00,07/04/2025 06:21 PM,,07/04/2025 06:21 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TX09674,CMV8987,5.00,0.00,1.00,0.00,0:30,07/04/2025 06:16 PM,,07/04/2025 06:16 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TH58455,9BZP958,10.00,0.00,1.00,0.00,0:30,07/04/2025 06:13 PM,,07/04/2025 06:13 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TH58455-EXT,9BZP958,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 06:13 PM,,07/04/2025 06:23 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
2913 Washington Parking (Scopa 1),TQ96515,FEDRIGO,25.00,0.00,1.00,0.00,Until 05:00 PM,07/04/2025 06:07 PM,,07/04/2025 06:07 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TP25902,9THC093,30.00,0.00,3.00,0.00,2:00,07/04/2025 06:06 PM,,07/04/2025 06:06 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TU60265,DA48L09,5.00,0.00,1.00,0.00,0:15,07/04/2025 06:06 PM,,07/04/2025 06:06 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
407 Colorado Parking,TP36476,9KFV699,50.00,0.00,1.00,0.00,23:59,07/04/2025 06:06 PM,,07/04/2025 06:06 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TV90640,R029086,80.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 06:03 PM,,07/04/2025 06:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TF66999,9SUY687,5.00,0.00,1.00,0.00,0:15,07/04/2025 05:54 PM,,07/04/2025 05:54 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TF66999-EXT,9SUY687,10.00,0.00,1.00,0.00,0:45,07/04/2025 05:54 PM,,07/04/2025 05:55 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TY08703,8TXW754,20.00,0.00,2.00,0.00,1:00,07/04/2025 05:40 PM,,07/04/2025 05:40 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TY08703-EXT,8TXW754,10.00,0.00,1.00,0.00,1:00,07/04/2025 05:40 PM,,07/04/2025 06:31 PM,Open,Card,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TY08703-EXT,8TXW754,10.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 05:40 PM,,07/04/2025 07:41 PM,Open,Card,Regular,,SUCCEEDED,Parker,
